BIOBASE accession	HGNC	Illumina	
GN000090424	GJC3	0000050070;ILMN_1757629	
GN000082287	PIH1D2	0006590685;ILMN_1769453	
GN000004507	LNPEP	0005670142;0004850377;0101850082;ILMN_1814737;ILMN_1875342;ILMN_1720934;ILMN_1682446;ILMN_1758661;ILMN_1798433	
GN000085961	GJD4	0106100600;ILMN_1654742	
GN000159463	RTTN	0005420154;ILMN_1735658;ILMN_1809130	
GN000085336	MYOM3	0002030180;ILMN_1719581	
GN000001026	ZMYM2	0006420609;ILMN_1661636	
GN000161874	ZNF668	0006660132;ILMN_1739236	
GN000049693	DYNC1LI2	0005420672;ILMN_1783448	
GN000004235	TEK	ILMN_2066151	
GN000004778	MCL1	0004610504;0002230148;ILMN_1683375;ILMN_1756806;ILMN_1710028;ILMN_1803988	
GN000050332	MSH4	0006940672;ILMN_1653146	
GN000161828	TMEM204	0001690451;ILMN_3241657;ILMN_1751559	
GN000085487	ALS2CR11	0004610148;ILMN_1792449;ILMN_1771239	
GN000005383	NTRK2	0001450441;ILMN_1714067;ILMN_1702822;ILMN_2357855	
GN000108718	CTXN1	0001850673;ILMN_1759766	
GN000051786	ZNF254	0000430500;0001580372;ILMN_1657729;ILMN_2350357	
GN000008845	RPL11	0000460333;ILMN_2114876;ILMN_1762168;ILMN_1672446	
GN000002945	HNF4A	0005570400;0002480619;ILMN_1698546;ILMN_2372124	
GN000043672	NPHP4	0005420372;ILMN_2219512;ILMN_1808417	
GN000085583	CDC20B	0000460435;ILMN_1787292;ILMN_1685971	
GN000298254	MIR212	ILMN_3311005;ILMN_3308560	
GN000003774	CDKN2D	0002360324;0006380167;ILMN_1748883;ILMN_1740597	
GN000124358	SLC5A9	0007050338;ILMN_1748366	
GN000157714	FFAR1	0002360348;ILMN_1756285	
GN000160047	TMED9	0006110546;ILMN_1743655	
GN000058486	ABHD14A	0003520435;ILMN_1794213	
GN000051180	ZNF28	0103120632;0007000026;ILMN_1709377;ILMN_2199516	
GN000162972	ABHD16B	0004570292;ILMN_1805483	
GN000160561	ATP10D	0006980528;ILMN_1656159	
GN000616491	SMIM4	0106940746;ILMN_1815658;ILMN_2050921;ILMN_3245869	
GN000003351	IL6R	0001400113;0006180278;ILMN_1696394;ILMN_1754753	
GN000161800	C17orf62	0002100193;ILMN_1750401	
GN000087753	MPV17L	0006350040;ILMN_1654722	
GN000001680	CNNM1	0007040372;ILMN_1657750	
GN000003173	NR1H2	0005890148;ILMN_1678032;ILMN_1691345	
GN000159517	SENP6	ILMN_1761731;ILMN_2054236	
GN000001205	FADS2	0003610575;ILMN_2075065;ILMN_1763151	
GN000164751	SLC13A5	ILMN_1676192	
GN000161918	TM4SF20	0000670301;ILMN_1775830	
GN000163698	TDRD9	0005050670;ILMN_1811110;ILMN_2169490	
GN000157813	KCNK1	0000610670;ILMN_1718863;ILMN_2071641	
GN000009310	HOXD10	0002970605;ILMN_1714691	
GN000082742	DOCK11	0002340292;ILMN_1765860	
GN000062503	APOBR	0005670300;ILMN_1697925	
GN000050674	PRPS2	0002510707;ILMN_1758104;ILMN_2399431	
GN000085533	MAMDC4	ILMN_1740759	
GN000090528	KNCN	0006400176;ILMN_1723834;ILMN_1727600;ILMN_3247552	
GN000010207	TBX1	0006770546;0006770112;0005420131;ILMN_1708989;ILMN_2262510;ILMN_1680741;ILMN_2248112;ILMN_1698015	
GN000044012	PDE4C	0003850008;0002690494;ILMN_1793367;ILMN_1722676;ILMN_2117613;ILMN_1761277	
GN000051100	TNFRSF4	0001450373;ILMN_2112256;ILMN_1710204	
GN000897697		0002570050;ILMN_1717485	
GN000001629	YIPF3	ILMN_1673604	
GN000002094	SPHK2	0000460048;ILMN_1729281	
GN000199231	OR52E5	0004780358;0100060687;ILMN_1760525	
GN000077675	OR2A2	0103940088;ILMN_1777638	
GN000007357	VCAM1	0000940014;0003120707;ILMN_2307903;ILMN_2325763;ILMN_1766955	
GN000158447	GAN	0101190408;0003290110;ILMN_1708103;ILMN_3307901;ILMN_1851492	
GN000087770	C11orf72	0000520494;ILMN_1793570	
GN000043988	RAB21	0000870707;ILMN_1746856	
GN000110828	KRTAP5-11	ILMN_1749989	
GN000063861	CFAP97	0003940086;ILMN_3244574	
GN000051256	ZXDB	ILMN_1658196;ILMN_1685547	
GN000199219	MEMO1P1	ILMN_1741599;ILMN_1790819	
GN000157732	GZMA	0000130253;ILMN_1779324	
GN000001149	PLOD3	0001410368;ILMN_1714350;ILMN_1774836	
GN000003409	OPRM1	0006110369;ILMN_2373155;ILMN_1803261;ILMN_2275199;ILMN_1739357;ILMN_1689129;ILMN_1812641	
GN000001497	NUDT6	0002470037;0000520041;0006940056;ILMN_1665192;ILMN_1780659;ILMN_1714951;ILMN_2366972;ILMN_1694311	
GN000085371	POC5	0006620047;ILMN_1756673;ILMN_2225577	
GN000001189	ZNF235	0006660671;ILMN_1806782	
GN000116466	LINGO4	0006420463;ILMN_1694534;ILMN_2056815;ILMN_1734366;ILMN_1771126	
GN000157495	GDAP1	0001980176;ILMN_1868797;ILMN_1905850;ILMN_1730897;ILMN_1721801	
GN000005072	FOXL2	0005900019;ILMN_1681456;ILMN_1796851;ILMN_1714280	
GN000005504	RORC	ILMN_1651792;ILMN_2275399;ILMN_1734366;ILMN_1771126	
GN000091938	SOHLH1	0002970131;ILMN_1656383	
GN000050773	RLN1	0001740176;ILMN_1796775	
GN000083282	ZNF627	0003440129;ILMN_2197519;ILMN_1708787	
GN000165831	SLAMF1	ILMN_1770768	
GN000009263	TADA2A	0002190131;0004120239;0002190273;ILMN_1787081;ILMN_1696709;ILMN_1680682	
GN000091433	ZNF605	ILMN_1712269;ILMN_1816017	
GN000050368	MX1	0001410301;ILMN_1662358	
GN000540798	AGAP6	ILMN_2209578;ILMN_3239130	
GN000083615	ZNF396	0003450706;ILMN_1776164;ILMN_2057369	
GN000158786	RB1CC1	0004810725;ILMN_1736796	
GN000090271	LCE2A	0000940372;ILMN_1653282	
GN000162313	FAM234A	0004760670;ILMN_1810055	
GN000049888	GCDH	0001090176;0006100487;ILMN_1797482;ILMN_2296843;ILMN_1763424;ILMN_1753796;ILMN_3228037	
GN000108648	GFRAL	0002360315;ILMN_1708710;ILMN_1691742	
GN000078033	TMEM133	0001240341;ILMN_1730516	
GN000008141	RAD23B	0001400014;ILMN_1722662;ILMN_1807530	
GN000158450	COIL	ILMN_1688034	
GN000164758	TFAP2E	0000780440;ILMN_1790595	
GN000159597	PRELID1	0001340102;ILMN_2179652;ILMN_1680022	
GN000092361	C3orf62	0003290070;ILMN_1679339	
GN000051608	CLDN8	0005860440;0005860176;ILMN_2072568;ILMN_1746676	
GN000158147	RPL12	0006590129;ILMN_1658457;ILMN_2116366	
GN000006452	SVIL	0006420324;0101780279;0001690601;0100380075;0106220025;ILMN_1671404;ILMN_1659306	
GN000077887	PARD6B	0001340497;ILMN_1745154	
GN000158305	TNXB	0002510348;0005570102;0002510070;ILMN_1684614;ILMN_1708615	
GN000007726	PFN2	0004920731;0002350093;ILMN_1701747;ILMN_1775448;ILMN_1710512;ILMN_1728258	
GN000198885	RBMY1HP	0005550706;ILMN_2194115;ILMN_1800421;ILMN_1764541;ILMN_1738703	
GN000004256	TACR3	0003710075;ILMN_1658369	
GN000125740	RNASE10	0003290341;ILMN_1684083	
GN000051654	RASSF9	0003610397;ILMN_1798855	
GN000160219	SBNO1	0001090707;ILMN_1690942;ILMN_1739943	
GN000160512	MFF	0006550487;ILMN_1680171	
GN000001234	KIF20B	0004560471;ILMN_1712452	
GN000009471	NLGN1	0001990551;ILMN_1739521;ILMN_1860487	
GN000043364	C20orf194	0003800164;ILMN_1689585;ILMN_1672066	
GN000061394	WNT16	0006290519;0004120035;0004780551;ILMN_1679215;ILMN_1731964	
GN000050986	SSX1	0006100671;ILMN_2247572;ILMN_1690680	
GN000076455	ADAMTS20	0000610300;ILMN_1651717;ILMN_1787908;ILMN_1791795	
GN000005133	GRB7	0002450204;ILMN_1798582;ILMN_2405254;ILMN_1740762	
GN000540700	MIR204	ILMN_3308738	
GN000163798	EXD1	ILMN_1694772	
GN000157691	GLUD1	ILMN_1713756	
GN000058650	C10orf12	0002260397;ILMN_1665508	
GN000157940	NARS	0004230008;ILMN_1732216	
GN000157990	PAFAH1B2	0004060053;ILMN_1743319	
GN000783384	MIR4750	0004670008;ILMN_1756542	
GN000003919	NFYB	0001780577;ILMN_1668726;ILMN_1750005	
GN000003392	NRG2	0002030520;0104480575;ILMN_2337880;ILMN_1683580;ILMN_1742151	
GN000002269	TSEN34	0003360497;ILMN_1673111;ILMN_2368292	
GN000159907	ARMCX3	0104760609;0001170040;0000580286;ILMN_1799730;ILMN_2334760;ILMN_1651741;ILMN_2334765;ILMN_1833837	
GN000085488	CCDC140	0006020576;ILMN_1691566	
GN000009488	SHANK1	0002570575;ILMN_1747754	
GN000005666	CNBP	0005270181;ILMN_3250984;ILMN_1769319;ILMN_1804631;ILMN_2169839	
GN000003348	IL18	0002510538;ILMN_1778457	
GN000003772	ITPR2	0001740273;ILMN_1736103	
GN000043955	ZNF117	0000110176;ILMN_1723018;ILMN_1789375;ILMN_2118663	
GN000161939	TMC7	0001660068;ILMN_1689306	
GN000198975	DANCR	0003940358;0106130427;ILMN_3238613;ILMN_3248882	
GN000163147	CMTM7	0000520463;0000520541;ILMN_1740487;ILMN_1698934;ILMN_2403247	
GN000159900	PHF7	0000840091;0003390397;ILMN_1812094;ILMN_2375160;ILMN_1699514;ILMN_2375156;ILMN_1672231	
GN000007330	LPL	0003130021;ILMN_1786444	
GN000010458	LEO1	0004570538;ILMN_1801553;ILMN_1804451	
GN000001142	IER3	0000450519;ILMN_1682717	
GN000156611	DCT	0005890279;ILMN_1701783	
GN000160277	DHRS4-AS1	0105890025;ILMN_3261811;ILMN_3187771	
GN000001137	DLEU2	0006510576;0002810706;ILMN_1784046;ILMN_1658607	
GN000000360	BMP2	0003830184;ILMN_1722718	
GN000160107	BCOR	0000940288;0001980091;0001050397;ILMN_1773117;ILMN_1712161;ILMN_1676241	
GN000009459	GFI1B	0003130494;ILMN_1742548	
GN000010369	OGG1	0002060524;ILMN_1706652;ILMN_1808340	
GN000159504	REXO2	0003840403;ILMN_1749009	
GN000043608	ADRM1	0003120072;ILMN_2389013;ILMN_1760143	
GN000156609	ENDOD1	0002630021;ILMN_1820226;ILMN_1699022	
GN000087707	TRIM65	0000460497;ILMN_1764165	
GN000051822	FEZ1	0006860546;0006860112;ILMN_1779071;ILMN_1727992;ILMN_1794106	
GN000051598	SLC13A2	0004850369;ILMN_1792744	
GN000078205	SLC37A3	0000130242;ILMN_1686535;ILMN_2307598;ILMN_1671704;ILMN_1779979	
GN000090405	KRTAP6-2	0006450193;ILMN_1722755	
GN000010071	TXN2	0000510088;ILMN_1654457	
GN000051441	PLA2G4C	0005570278;ILMN_1810191	
GN000159584	EIF2AK4	ILMN_1755114	
GN000160175	BCL11A	0003850176;0000840440;ILMN_1698224;ILMN_1752899;ILMN_2342271;ILMN_2255133;ILMN_1659800	
GN000160070	KLHL24	0105670341;0004730411;ILMN_1678671;ILMN_1685297	
GN000002342	F9	0001090301;ILMN_1787598;ILMN_1810651	
GN000077719	OR6B2	0001940195;ILMN_1672658	
GN000157652	FNTA	0000630273;0106220601;ILMN_1746494;ILMN_1721704;ILMN_2374191	
GN000058946	CCDC113	0006980458;ILMN_1775520;ILMN_1665810	
GN000160660	ISLR2	0006400332;0002030427;ILMN_1692739	
GN000002719	AFP	0003800358;ILMN_1782204	
GN000165302	IGFBPL1	0003170066;ILMN_1677158	
GN000157600	EFNA4	0005050082;0000770129;ILMN_1665696;ILMN_1755710	
GN000050401	CEACAM6	0004480128;ILMN_1712522	
GN000199358	PTPN20CP	ILMN_1673099	
GN000161972	ESRP2	0002690292;ILMN_1729640	
GN000078241	TMEM107	0004590010;ILMN_2413330;ILMN_1775354;ILMN_2413331	
GN000159850	CCDC174	0006660020;ILMN_1750144;ILMN_1813768	
GN000008821	TBL1X	0004540593;ILMN_1744795	
GN000010800	SNRNP70	0003610341;ILMN_2380839;ILMN_3248113;ILMN_1683049;ILMN_1732053	
GN000003599	CCR6	0001050685;0003520592;ILMN_1759635;ILMN_2387696;ILMN_1690907	
GN000002503	PTH	0006650097;ILMN_1781669;ILMN_2202048	
GN000082607	LGI3	0002850270;ILMN_1737162	
GN000061882	DIRAS2	0006510086;ILMN_1742846;ILMN_2155816	
GN000116418	OR51A7	0004070301;ILMN_1679012	
GN000164455	HIST3H2BB	0006370097;ILMN_1764986	
GN000061430	CDK5RAP1	0004920168;0005890053;ILMN_1812289;ILMN_1711023;ILMN_1665582	
GN000162073	TSEN2	0005550193;0101940047;ILMN_1746393	
GN000058250	QPRT	0004050280;ILMN_1700268;ILMN_1669211	
GN000008704	SPHK1	0000610138;0000380541;ILMN_2357134;ILMN_1702032;ILMN_1774153	
GN000162641	ATG16L2	0006100397;ILMN_1664644	
GN000085301	AGBL1	0001850044;0006040563;ILMN_1657603;ILMN_1841297;ILMN_1881642	
GN000157695	GNG7	0005050086;ILMN_1728107	
GN000009588	UBE2L6	0103130044;0001170300;0003130162;0005720270;ILMN_1769520;ILMN_2252495;ILMN_1778698;ILMN_1703108	
GN000156542	HPGDS	0006590075;ILMN_1668855;ILMN_1713753	
GN000199097	CDC14C	0004570471;ILMN_1737951;ILMN_1805251;ILMN_1751463	
GN000157589	TOR1A	0006420390;ILMN_1805812	
GN000158092	TWF1	0001400750;ILMN_1734510;ILMN_1736635;ILMN_1681203;ILMN_1682675	
GN000872717	STRBP	0001400167;ILMN_1719998;ILMN_1808783	
GN000156524	PRR3	0006290563;ILMN_1750167;ILMN_2392674	
GN000043663	PRAMEF2	0004230193;ILMN_3240662	
GN000198915	HNRNPA3P1	ILMN_2174574	
GN000000757	NVL	0004810184;ILMN_1740957;ILMN_1712636	
GN000157800	ITGAE	0002450520;ILMN_1683927	
GN000051864	KIAA0355	0002940717;ILMN_1659845	
GN000004910	BIK	0003840082;ILMN_1770505	
GN000000239	ACPP	ILMN_1758323	
GN000163043	YTHDC1	0002650324;ILMN_1670878;ILMN_1666111;ILMN_1707506	
GN000080810	ASB10	0001340156;ILMN_1781148	
GN000160360	ZNFX1	0002650372;ILMN_1745148;ILMN_3291614	
GN000010466	GTF2IRD1	0006940603;ILMN_1669717	
GN000003586	CCL15	0005420273;0002470053;ILMN_1670658;ILMN_1669034;ILMN_3268472	
GN000082319	PPP1R1C	ILMN_1808217;ILMN_1667753	
GN000004433	MAD2L1	0003850519;ILMN_2112460;ILMN_1777564	
GN000089098	FAM181B	0000770025;0005390253;ILMN_1735502;ILMN_3242758	
GN000001341	GPHN	0003780537;ILMN_1677962;ILMN_1723607	
GN000156460	STAB1	ILMN_1655987	
GN000302900	MIR644A	ILMN_3309950	
GN000002721	FGB	0001400079;ILMN_2114972;ILMN_1678049	
GN000163096	BMPER	0004570204;ILMN_3307916;ILMN_1702371;ILMN_1670061;ILMN_1801867	
GN000540617	MIR630	ILMN_3308637	
GN000110806	OR4D5	0002060066;ILMN_1677270	
GN000076402	DENND1C	0005290184;ILMN_1767020	
GN000160640	ARRDC3	0000540452;ILMN_2198515;ILMN_1813769	
GN000003497	TNFRSF1A	0004060112;ILMN_1685005	
GN000158294	THY1	0002120600;0102100161;ILMN_1779875	
GN000159407	SMPX	0000360450;ILMN_1778743;ILMN_2162603	
GN000000756	NUP98	0001340465;0001340487;ILMN_1732776;ILMN_2326793;ILMN_1684074	
GN000049896	MSTN	0001580056;ILMN_1780516	
GN000127027	ZNF749	0007050687;ILMN_1678513;ILMN_2148298	
GN000001833	MRPL37	0002510403;ILMN_2041327;ILMN_1711930	
GN000002079	ZMAT5	0003840017;ILMN_1745421;ILMN_2337955	
GN000051255	ZXDA	0004120167;ILMN_1782034;ILMN_1679029;ILMN_2342250;ILMN_1896406	
GN000199288	FAM127C	0003610324;ILMN_2106107;ILMN_3251536	
GN000001644	GEMIN5	0005270132;ILMN_1663383	
GN000199026	TSPEAR-AS2	0006980095;ILMN_1666773	
GN000164802	ADAT2	0002850010;0102370048;ILMN_3245693;ILMN_1786688;ILMN_1676554	
GN000199326	SCX	ILMN_3240314;ILMN_3238178	
GN000158514	IRS4	0004560010;ILMN_1712774	
GN000061877	ROPN1	0002680097;ILMN_1668766;ILMN_1702055	
GN000078198	MRI1	ILMN_1806828;ILMN_2296284	
GN000087766	STK32C	0006420458;0002640128;ILMN_1846922;ILMN_1672302;ILMN_1888894	
GN000090564	C14orf177	0005690670;ILMN_1728272	
GN000163783	SH3RF2	0000870309;ILMN_1661137	
GN000049653	DEFB1	0001230528;ILMN_1686573	
GN000058942	WDR91	0006020128;ILMN_1652223	
GN000051167	ZNF12	0006040112;ILMN_1784577	
GN000049716	DUT	0001500601;ILMN_1721008;ILMN_1732688;ILMN_2374778	
GN000125151	DGKK	0001580154;ILMN_1844668;ILMN_1707799	
GN000050845	SCN2B	0005360671;ILMN_1676998	
GN000008934	MVP	0002650128;ILMN_2344373;ILMN_1803277	
GN000010482	PAF1	0006860021;ILMN_1669508;ILMN_1680878	
GN000000439	GTF3C5	0003450050;ILMN_1723895	
GN000615146	HAUS7	0006650288;0001690397;0002260091;ILMN_2371700;ILMN_1694890;ILMN_1801359	
GN000007723	FADD	0006350164;ILMN_1758658	
GN000004291	ZEB1	0005860333;ILMN_1762231	
GN000616489	C1orf146	0004760647;ILMN_2083742	
GN000001577	CTDNEP1	0105420403;0003170687;ILMN_1683719;ILMN_2133638	
GN000049279	ANXA2	ILMN_1755937;ILMN_1711899;ILMN_2409167	
GN000872734	ATP6V0A2	0005890026;ILMN_1700380	
GN000159998	ZDHHC13	0001580403;ILMN_1785831;ILMN_1673335;ILMN_1684663;ILMN_2243697	
GN000050730	PYCR1	0003360180;0003360746;ILMN_1796013;ILMN_1753877;ILMN_1715178	
GN000080733	GPR82	0002320706;ILMN_2070375;ILMN_1763500	
GN000003461	MC1R	0003140300;0003440097;ILMN_1814971;ILMN_1653319	
GN000000316	CAPN3	0003360672;0003840097;ILMN_1708964;ILMN_1687971;ILMN_2332691;ILMN_1716357	
GN000002946	TNNC2	0003360398;ILMN_1693428	
GN000052166	ABCA9	0002350170;ILMN_1668446;ILMN_1720501	
GN000002112	SDHAF3	0001170403;ILMN_1771348;ILMN_2134039	
GN000161965	ZNF442	0005890438;ILMN_1663754	
GN000158592	CHRNA6	0005220022;ILMN_1756578	
GN000006568	ZBTB25	0002340113;ILMN_2048982;ILMN_1658728	
GN000157489	LAMB1	0000870593;ILMN_2214790;ILMN_1658709	
GN000782264	MIR2276	ILMN_3309529	
GN000000640	JCHAIN	0002120066;ILMN_1696245;ILMN_2105441	
GN000303296	MIR509-2	ILMN_3309214;ILMN_3309724	
GN000043614	ATP9B	0005570711;0004920687;0004560176;ILMN_1658684	
GN000085882	TIGD3	0006350619;ILMN_1695878	
GN000158442	CDK2AP1	0006380471;ILMN_3245559;ILMN_1771204	
GN000158895	TRIM13	0006860451;0003850170;0006350072;0000380687;ILMN_1674260;ILMN_1688938;ILMN_2350114;ILMN_2404589;ILMN_1811277;ILMN_2350122;ILMN_2262275	
GN000058112	LAMB4	0006760471;ILMN_1792301	
GN000007990	FOSL2	0006380717;0101410551;0001940497;ILMN_1725175	
GN000062293	NDUFAF7	0003140050;0001500671;ILMN_2394132;ILMN_1787370;ILMN_1722186	
GN000158805	LRRC37A	ILMN_1783673	
GN000051537	AKAP4	0005360161;0005670239;0007040280;ILMN_1734794;ILMN_1698978;ILMN_2253207;ILMN_2268556;ILMN_1661381	
GN000003524	IL1R2	0004150670;0000520195;0001690315;ILMN_1758371;ILMN_1772131;ILMN_2251766;ILMN_1654775	
GN000162181	ZNF611	0006940273;0100450440;ILMN_1757900;ILMN_2181469	
GN000160090	SIDT1	0006660324;ILMN_1795118	
GN000076322	FAM57A	0004060114;ILMN_1673899	
GN000199252	C8orf59	ILMN_1653205	
GN000000869	RFC4	ILMN_1724489;ILMN_2370365	
GN000002490	HPX	0006510168;0101570292;ILMN_1668593	
GN000159548	PITPNC1	0006520021;0006040242;ILMN_1738796;ILMN_1670638	
GN000158644	DNAJA2	0006180110;ILMN_1770127	
GN000051671	DLGAP2	0003390154;ILMN_1713139	
GN000161891	ALG9	0006290025;ILMN_1732809	
GN000061755	RNF17	0006110358;0004850037;0006900717;0002640333;ILMN_1689621;ILMN_1791505;ILMN_1785676	
GN000000700	MOV10	0002260112;ILMN_1725700	
GN000303570	MIR1302-4	ILMN_3309309	
GN000125741	LRRC66	0006980452;ILMN_1808537	
GN000156344	EPB41L1	0003130079;0002480072;0004810600;ILMN_1719475;ILMN_1716507;ILMN_1684534	
GN000052041	SH2D3A	0002810270;ILMN_1772466	
GN000079057	CGNL1	0104730128;0106900059;0001740114;ILMN_1730229	
GN000161984	MOB1A	0002570707;ILMN_3242011;ILMN_1731854	
GN000000322	CD1D	0001660142;ILMN_1719433	
GN000303530	MIR1229	0002940673;ILMN_1796106;ILMN_3310720	
GN000158968	NXF1	ILMN_2263144;ILMN_1722674	
GN000002057	TMEM30A	0004010632;ILMN_1735680;ILMN_1802337	
GN000162173	TDRD1	0001740270;0100520746;ILMN_1809750;ILMN_2175094	
GN000094352	NAPEPLD	0004560609;0004210400;ILMN_1762033	
GN000090248	ZDHHC21	0002900537;ILMN_1715526	
GN000064080	OVOL2	ILMN_1724832	
GN000161979	NAA25	0002850215;ILMN_1788810;ILMN_2077733	
GN000051213	ZNF121	0104070100;ILMN_1766613	
GN000003826	MEF2D	0006020075;ILMN_1763228	
GN000049369	BMP3	0000060463;ILMN_1682661	
GN000043287	U2SURP	0005360112;ILMN_2286334	
GN000061939	TOR4A	0000060114;ILMN_1813641	
GN000156559	ZNF544	0002970538;0006900025;ILMN_1797903	
GN000082266	CCDC126	0004760021;ILMN_1751264;ILMN_3203507	
GN000003538	NAE1	ILMN_1684816;ILMN_2415439;ILMN_1756308	
GN000050839	ATXN2	0001690736;ILMN_1743829	
GN000159849	ORMDL3	0006620026;ILMN_1662174	
GN000162423	LZTS2	0004540377;ILMN_1763524	
GN000160375	BRK1	0005360594;ILMN_1764500	
GN000063783	SHROOM4	ILMN_2206188	
GN000003643	ARPC2	0006590671;0006590722;0002690050;ILMN_2255021;ILMN_1810200;ILMN_1792489;ILMN_1659515	
GN000000245	ADH4	0005720520;ILMN_2136010	
GN000050479	OR3A4P	0106350167;ILMN_1751645;ILMN_1661598	
GN000108627	TNFAIP8L3	0002810315;ILMN_1682099	
GN000162931	PARD3B	0006940619;0002470279;0002680707;ILMN_1652461	
GN000162344	GTF2IRD2	ILMN_1680501	
GN000008948	NGFRAP1	0003780358;ILMN_2370091;ILMN_1729208	
GN000050617	PNMT	0002630014;ILMN_1710027;ILMN_1798007	
GN000000358	FYB	0002690451;0003140242;ILMN_1785504;ILMN_2280548;ILMN_1796537	
GN000092319	CFAP54	0000780685;ILMN_1719530;ILMN_1708941	
GN000162421	RAB11FIP4	0003710427;ILMN_1681467	
GN000003323	CSK	0005570541;ILMN_1754121	
GN000049772	EVX2	0001660048;ILMN_1652291;ILMN_2045369	
GN000006115	MARVELD1	0002030364;ILMN_3227782;ILMN_1668963	
GN000088034	LINC00301	ILMN_3258513;ILMN_1716298	
GN000297551	C2orf74	0003120736;ILMN_1754501	
GN000162521	LINC00467	ILMN_1808769;ILMN_2047354	
GN000158268	STX4	0106900546;0000580551;ILMN_1680313	
GN000082417	DNER	0006100075;ILMN_1791679	
GN000003504	ZAP70	0004810563;ILMN_1719756;ILMN_1674838	
GN000049824	FMOD	0002940358;ILMN_1789639	
GN000043912	PCDHGC3	0002650450;0004120372;ILMN_1656955;ILMN_2345824;ILMN_1675428	
GN000157441	CAV3	0000450131;0006200044;ILMN_1810532;ILMN_1804980	
